Timestamp,Chairperson [Candidate 1],Chairperson [Candidate 2],Chairperson [Candidate 3],Chairperson [RON]
4/9/2021 17:49:39,2,3,4,1
4/9/2021 17:49:46,1,3,2,4
4/9/2021 17:49:55,1,2,3,4
4/9/2021 17:50:01,3,2,1,4
4/9/2021 17:50:04,3,2,4,1
4/9/2021 17:50:06,2,3,1,4
4/9/2021 17:50:11,4,3,2,1
4/9/2021 17:50:11,1,2,4,3
4/9/2021 17:50:17,1,2,3,4
4/9/2021 17:50:21,3,2,1,4
4/9/2021 17:50:24,1,2,3,4
4/9/2021 17:50:24,1,3,2,4
4/9/2021 17:50:25,3,2,1,4
4/9/2021 17:50:31,2,1,3,4
4/9/2021 17:50:34,2,4,1,3
4/9/2021 17:50:34,2,3,1,4
4/9/2021 17:50:40,2,1,3,4
4/9/2021 17:50:50,3,4,2,1
4/9/2021 17:50:55,4,3,2,1
4/9/2021 17:52:16,1,3,2,4
4/9/2021 17:52:22,1,2,3,4
4/9/2021 17:52:40,1,2,3,4
4/9/2021 17:52:46,3,2,4,1
4/9/2021 17:53:38,1,2,3,4
4/9/2021 17:58:56,1,4,2,3
4/9/2021 17:58:59,2,3,1,4
4/9/2021 17:59:01,1,2,3,4
4/9/2021 17:59:05,4,3,2,1
4/9/2021 17:59:06,2,1,3,4
4/9/2021 17:59:10,1,2,3,4
4/9/2021 17:59:11,4,3,2,1
4/9/2021 17:59:15,1,2,3,4
4/9/2021 17:59:16,1,4,2,3
4/9/2021 17:59:19,4,3,1,2
4/9/2021 17:59:21,1,2,3,4
4/9/2021 17:59:31,1,2,3,4
4/9/2021 18:00:35,2,3,1,4
4/9/2021 18:00:42,3,1,2,4
4/9/2021 18:00:47,1,2,3,4
4/9/2021 18:00:52,4,3,2,1
4/9/2021 18:45:42,1,2,4,3
4/9/2021 18:46:04,2,1,3,4
4/9/2021 18:46:16,4,3,2,1
4/9/2021 18:58:56,3,4,2,1
4/9/2021 19:17:57,3,2,4,1
4/9/2021 20:50:14,2,1,3,4
4/9/2021 20:50:21,4,3,2,1
4/9/2021 20:50:36,3,1,4,2
